Attacker,Rock,Gun,Lightning,Devil,Dragon,Water,Air,Paper,Sponge,Wolf,Tree,Human,Snake,Scissors,Fire
Rock,draw,lose,lose,lose,lose,lose,lose,lose,win,win,win,win,win,win,win
Gun,win,draw,lose,lose,lose,lose,lose,lose,lose,win,win,win,win,win,win
Lightning,win,win,draw,lose,lose,lose,lose,lose,lose,lose,win,win,win,win,win
Devil,win,win,win,draw,lose,lose,lose,lose,lose,lose,lose,win,win,win,win
Dragon,win,win,win,win,draw,lose,lose,lose,lose,lose,lose,lose,win,win,win
Water,win,win,win,win,win,draw,lose,lose,lose,lose,lose,lose,lose,win,win
Air,win,win,win,win,win,win,draw,lose,lose,lose,lose,lose,lose,lose,win
Paper,win,win,win,win,win,win,win,draw,lose,lose,lose,lose,lose,lose,lose
Sponge,lose,win,win,win,win,win,win,win,draw,lose,lose,lose,lose,lose,lose
Wolf,lose,lose,win,win,win,win,win,win,win,draw,lose,lose,lose,lose,lose
Tree,lose,lose,lose,win,win,win,win,win,win,win,draw,lose,lose,lose,lose
Human,lose,lose,lose,lose,win,win,win,win,win,win,win,draw,lose,lose,lose
Snake,lose,lose,lose,lose,lose,win,win,win,win,win,win,win,draw,lose,lose
Scissors,lose,lose,lose,lose,lose,lose,win,win,win,win,win,win,win,draw,lose
Fire,lose,lose,lose,lose,lose,lose,lose,win,win,win,win,win,win,win,draw
